chip	ch	posX		posY	Type
0	0	-4.872239	-0.562580	0
0	2	-3.897787	0.000000	4
0	4	-3.897787	-1.125180	0
0	6	-5.846691	-1.125180	0
0	8	-2.923335	-1.687780	0
0	10	-5.846691	-2.250380	2
0	12	-4.872239	-1.687780	0
0	14	-1.948884	-1.125180	0
0	16	-2.923335	-0.562580	0
0	18	-1.948883	0.000000	0
0	20	-2.923335	0.562580	0
0	22	-1.948883	1.125180	0
0	24	-0.974432	0.562580	0
0	26	-0.974432	1.687780	0
0	28	-1.948883	2.250380	0
0	30	-1.948883	3.375580	0
0	32	-2.923335	3.938180	0
0	34	-2.923335	2.812980	0
0	36	-3.897787	3.375580	0
0	38	-3.897787	2.250380	0
0	40	-2.923335	1.687780	0
0	42	-3.897787	1.125180	0
0	44	-2.923335	5.063380	0
0	46	-6.821142	-0.562580	3
0	48	-3.897787	4.500780	0
0	50	-4.872239	3.938180	2
0	52	-4.872239	2.812980	0
0	54	-4.872239	1.687780	0
0	56	-5.846690	2.250380	2
0	58	-5.846690	0.000000	0
0	60	-4.872239	0.562580	0
0	62	-5.846690	1.125180	0
1	0	-1.948884	-3.375580	0
1	2	-0.974432	-3.938180	0
1	4	-1.948884	-4.500780	0
1	6	-0.000000	-4.500780	0
1	8	-2.923335	-5.063380	0
1	10	0.974432	-3.938180	0
1	12	0.974432	-5.063380	0
1	14	-3.897787	-4.500780	0
1	16	-3.897787	-5.625980	3
1	18	-1.948884	-5.625980	0
1	20	-0.974432	-5.063380	0
1	22	-0.974432	-6.188580	2
1	24	-0.000000	-5.625980	0
1	26	0.974432	-6.188580	2
1	28	1.948883	-5.625980	0
1	30	1.948883	-4.500780	0
1	32	2.923335	-5.063380	0
1	34	3.897787	-5.625980	3
1	36	-0.000000	-1.125180	0
1	38	-0.000000	-2.250380	0
1	40	0.974432	-2.812980	0
1	42	-0.000000	-3.375580	0
1	44	-0.974432	-0.562580	0
1	46	-2.923335	-2.812980	0
1	48	-3.897787	-2.250380	0
1	50	-4.872239	-2.812980	0
1	52	-1.948884	-2.250380	0
1	54	-0.974432	-1.687780	0
1	56	-0.974432	-2.812980	0
1	58	-2.923335	-3.938180	0
1	60	-4.872239	-3.938180	2
1	62	-3.897787	-3.375580	0
2	0	3.897787	-1.125180	0
2	2	3.897787	-0.000000	0
2	4	4.872239	-0.562580	0
2	6	5.846690	-1.125180	0
2	8	4.872239	1.687780	0
2	10	5.846691	-0.000000	0
2	12	6.821142	-0.562580	3
2	14	5.846691	1.125180	0
2	16	5.846691	2.250380	2
2	18	4.872239	0.562580	0
2	20	3.897787	1.125180	0
2	22	2.923335	0.562580	0
2	24	2.923335	-0.562580	0
2	26	1.948884	-0.000000	4
2	28	1.948884	1.125180	0
2	30	2.923335	-1.687780	0
2	32	1.948883	-2.250380	0
2	34	1.948883	-1.125180	0
2	36	0.000000	-0.000000	0
2	38	0.974432	-0.562580	0
2	40	0.974432	-1.687780	0
2	42	1.948883	-3.375580	0
2	44	2.923335	-2.812980	0
2	46	2.923335	-3.938180	0
2	48	3.897787	-4.500780	0
2	50	3.897787	-3.375580	0
2	52	4.872239	-3.938180	2
2	54	4.872239	-1.687780	0
2	56	4.872239	-2.812980	0
2	58	3.897787	-2.250380	0
2	62	5.846690	-2.250380	2
3	0	1.948884	4.500780	0
3	2	1.948884	5.625980	0
3	4	2.923335	5.063380	0
3	6	0.974432	5.063380	0
3	8	0.000000	5.625980	0
3	10	0.974432	6.188580	2
3	12	-0.974432	6.188580	2
3	14	0.000000	4.500780	0
3	16	0.974432	3.938180	0
3	18	0.000000	3.375580	0
3	20	-2.923335	6.188580	3
3	22	-1.948883	5.625980	0
3	24	-0.974432	5.063380	0
3	26	-0.974432	3.938180	0
3	28	-1.948883	4.500780	0
3	30	-0.974432	2.812980	0
3	32	0.000000	2.250380	0
3	34	0.000000	1.125180	0
3	36	0.974432	0.562580	0
3	38	0.974432	1.687780	0
3	40	3.897787	2.250380	0
3	42	2.923335	1.687780	0
3	44	2.923335	2.812980	0
3	46	4.872239	2.812980	0
3	48	4.872239	3.938180	2
3	50	3.897787	3.375580	0
3	52	1.948884	2.250380	0
3	54	0.974432	2.812980	0
3	56	1.948884	3.375580	0
3	58	2.923335	3.938180	0
3	60	3.897787	5.625980	3
3	62	3.897787	4.500780	0
